iter	Passed	Remaining
0	115	92179
1	230	92005
2	346	92057
3	455	90557
4	585	93132
5	683	90465
6	790	89599
7	881	87259
8	999	87868
9	1124	88874
10	1230	88274
11	1340	87995
12	1437	87027
13	1550	87025
14	1665	87175
15	1768	86652
16	1881	86650
17	1974	85761
18	2082	85614
19	2208	86114
20	2323	86185
21	2426	85813
22	2519	85099
23	2624	84861
24	2713	84118
25	2812	83731
26	2910	83322
27	3010	83015
28	3113	82782
29	3213	82471
30	3313	82204
31	3416	81984
32	3519	81792
33	3633	81855
34	3740	81755
35	3833	81351
36	3929	81025
37	4028	80774
38	4129	80583
39	4225	80282
40	4321	80007
41	4417	79728
42	4508	79373
43	4605	79125
44	4699	78845
45	4788	78496
46	4878	78156
47	4967	77826
48	5059	77537
49	5171	77575
50	5269	77387
51	5384	77459
52	5482	77272
53	5565	76886
54	5665	76741
55	5760	76527
56	5859	76373
57	5958	76225
58	6049	75981
59	6163	76012
60	6278	76062
61	6375	75892
62	6474	75743
63	6575	75617
64	6663	75351
65	6761	75190
66	6858	75037
67	6975	75092
68	7069	74899
69	7167	74746
70	7265	74598
71	7360	74427
72	7454	74239
73	7552	74097
74	7647	73924
75	7742	73754
76	7836	73585
77	7944	73535
78	8041	73388
79	8131	73183
80	8243	73171
81	8341	73037
82	8432	72843
83	8525	72673
84	8612	72447
85	8706	72280
86	8797	72097
87	8897	71986
88	8989	71815
89	9085	71676
90	9184	71559
91	9283	71445
92	9374	71266
93	9465	71092
94	9561	70953
95	9666	70884
96	9759	70734
97	9892	70865
98	9988	70729
99	10086	70603
100	10173	70407
101	10271	70291
102	10371	70183
103	10459	69995
104	10543	69789
105	10648	69720
106	10739	69552
107	10835	69427
108	10932	69306
109	11031	69195
110	11126	69064
111	11225	68957
112	11321	68831
113	11427	68767
114	11525	68651
115	11616	68495
116	11707	68345
117	11805	68232
118	11906	68137
119	11999	67995
120	12103	67917
121	12186	67725
122	12290	67646
123	12389	67540
124	12484	67413
125	12575	67267
126	12670	67142
127	12757	66979
128	12857	66880
129	12951	66751
130	13047	66632
131	13136	66479
132	13239	66396
133	13334	66275
134	13429	66150
135	13524	66028
136	13635	65988
137	13723	65831
138	13819	65714
139	13916	65605
140	14005	65457
141	14089	65286
142	14188	65189
143	14279	65052
144	14381	64966
145	14481	64870
146	14577	64756
147	14676	64655
148	14781	64582
149	14888	64516
150	14984	64402
151	15081	64295
152	15178	64184
153	15268	64049
154	15377	63992
155	15469	63861
156	15540	63645
157	15628	63501
158	15717	63364
159	15808	63232
160	15896	63090
161	15975	62915
162	16074	62819
163	16163	62684
164	16261	62581
165	16373	62535
166	16475	62448
167	16575	62355
168	16653	62179
169	16754	62088
170	16827	61897
171	16924	61792
172	17021	61689
173	17119	61589
174	17214	61480
175	17305	61356
176	17399	61243
177	17493	61130
178	17583	61003
179	17674	60878
180	17765	60756
181	17856	60632
182	17944	60502
183	18034	60374
184	18121	60243
185	18213	60124
186	18303	59999
187	18388	59861
188	18477	59733
189	18568	59614
190	18657	59488
191	18729	59310
192	18814	59173
193	18903	59047
194	18999	58947
195	19085	58814
196	19170	58678
197	19255	58544
198	19345	58424
199	19430	58290
200	19503	58122
201	19583	57976
202	19674	57859
203	19758	57725
204	19854	57625
205	19948	57522
206	20034	57394
207	20128	57289
208	20225	57192
209	20293	57015
210	20389	56916
211	20488	56825
212	20570	56690
213	20655	56561
214	20744	56444
215	20856	56388
216	20948	56282
217	21046	56187
218	21133	56067
219	21234	55981
220	21329	55880
221	21417	55761
222	21505	55644
223	21613	55577
224	21695	55445
225	21786	55332
226	21878	55225
227	21965	55106
228	22053	54989
229	22145	54881
230	22222	54738
231	22309	54619
232	22401	54512
233	22485	54388
234	22577	54283
235	22665	54166
236	22755	54056
237	22846	53948
238	22937	53840
239	23056	53798
240	23147	53691
241	23230	53564
242	23303	53415
243	23368	53248
244	23453	53130
245	23548	53030
246	23646	52940
247	23735	52831
248	23824	52721
249	23919	52621
250	23999	52492
251	24089	52386
252	24181	52282
253	24266	52163
254	24351	52045
255	24425	51903
256	24516	51799
257	24616	51714
258	24705	51604
259	24793	51494
260	24883	51387
261	24972	51279
262	25060	51168
263	25150	51063
264	25236	50950
265	25334	50860
266	25421	50747
267	25499	50619
268	25585	50505
269	25677	50404
270	25771	50305
271	25858	50195
272	25943	50082
273	26028	49966
274	26124	49873
275	26213	49767
276	26294	49646
277	26386	49545
278	26472	49434
279	26550	49308
280	26640	49203
281	26734	49107
282	26824	49003
283	26911	48896
284	26997	48785
285	27082	48673
286	27166	48559
287	27257	48457
288	27352	48363
289	27434	48246
290	27526	48148
291	27618	48047
292	27717	47960
293	27805	47856
294	27893	47749
295	28006	47687
296	28097	47586
297	28184	47478
298	28284	47393
299	28376	47294
300	28464	47188
301	28553	47084
302	28642	46981
303	28731	46877
304	28823	46779
305	28926	46698
306	29037	46629
307	29130	46532
308	29220	46431
309	29308	46325
310	29395	46220
311	29488	46122
312	29581	46026
313	29672	45925
314	29760	45822
315	29864	45741
316	29955	45641
317	30037	45528
318	30145	45454
319	30239	45358
320	30328	45256
321	30415	45151
322	30497	45037
323	30586	44935
324	30672	44828
325	30762	44728
326	30849	44623
327	30938	44520
328	31028	44420
329	31118	44319
330	31213	44226
331	31294	44113
332	31381	44009
333	31472	43910
334	31556	43802
335	31643	43698
336	31733	43597
337	31818	43491
338	31901	43382
339	31989	43279
340	32074	43173
341	32161	43070
342	32248	42967
343	32338	42866
344	32427	42766
345	32515	42664
346	32602	42561
347	32689	42458
348	32779	42359
349	32870	42261
350	32965	42169
351	33052	42066
352	33146	41973
353	33234	41871
354	33320	41768
355	33415	41675
356	33514	41588
357	33607	41493
358	33701	41399
359	33790	41299
360	33877	41197
361	33967	41098
362	34047	40988
363	34149	40904
364	34241	40808
365	34327	40705
366	34420	40610
367	34509	40511
368	34595	40408
369	34674	40297
370	34762	40197
371	34853	40100
372	34944	40002
373	35028	39898
374	35113	39794
375	35202	39696
376	35293	39599
377	35379	39497
378	35463	39393
379	35552	39294
380	35643	39197
381	35730	39098
382	35816	38996
383	35907	38899
384	35996	38801
385	36088	38705
386	36177	38608
387	36281	38526
388	36356	38412
389	36451	38320
390	36535	38217
391	36627	38122
392	36728	38037
393	36815	37936
394	36899	37833
395	36975	37722
396	37056	37616
397	37134	37507
398	37224	37411
399	37314	37314
400	37406	37220
401	37492	37119
402	37580	37020
403	37676	36930
404	37763	36830
405	37849	36730
406	37937	36632
407	38033	36542
408	38126	36448
409	38213	36349
410	38303	36253
411	38382	36146
412	38472	36050
413	38555	35947
414	38636	35843
415	38729	35750
416	38815	35650
417	38909	35558
418	39007	35469
419	39096	35372
420	39187	35278
421	39278	35183
422	39380	35097
423	39472	35004
424	39578	34922
425	39666	34824
426	39752	34725
427	39833	34622
428	39944	34544
429	40036	34449
430	40129	34357
431	40221	34263
432	40318	34172
433	40414	34082
434	40506	33988
435	40603	33898
436	40702	33809
437	40791	33713
438	40881	33618
439	40971	33521
440	41051	33418
441	41141	33322
442	41232	33227
443	41315	33126
444	41400	33027
445	41487	32929
446	41576	32833
447	41661	32734
448	41751	32638
449	41835	32538
450	41923	32441
451	42011	32344
452	42098	32247
453	42186	32151
454	42276	32055
455	42365	31959
456	42448	31859
457	42537	31763
458	42624	31666
459	42712	31570
460	42799	31473
461	42888	31377
462	42976	31280
463	43068	31187
464	43161	31094
465	43259	31005
466	43346	30909
467	43441	30817
468	43530	30721
469	43615	30623
470	43696	30522
471	43777	30421
472	43863	30324
473	43951	30227
474	44042	30134
475	44112	30026
476	44159	29902
477	44208	29780
478	44256	29658
479	44304	29536
480	44351	29413
481	44397	29291
482	44444	29169
483	44490	29047
484	44537	28926
485	44585	28806
486	44632	28686
487	44679	28565
488	44727	28446
489	44784	28332
490	44830	28213
491	44878	28094
492	44925	27976
493	44971	27857
494	45018	27738
495	45065	27620
496	45113	27504
497	45161	27387
498	45209	27270
499	45257	27154
500	45304	27037
501	45350	26921
502	45396	26804
503	45443	26689
504	45490	26573
505	45536	26457
506	45581	26342
507	45627	26227
508	45676	26113
509	45725	26000
510	45773	25887
511	45820	25774
512	45866	25660
513	45913	25547
514	45959	25434
515	46006	25321
516	46052	25208
517	46099	25096
518	46145	24984
519	46191	24872
520	46237	24760
521	46284	24649
522	46330	24538
523	46377	24427
524	46424	24317
525	46472	24208
526	46520	24098
527	46567	23989
528	46614	23880
529	46662	23771
530	46710	23663
531	46757	23554
532	46804	23446
533	46852	23338
534	46899	23230
535	46947	23123
536	46996	23016
